UTC,S31 Heat demand (%),S32 Heat demand (%),S41 Heat demand (%),Outside temp (0.1 °C),Building Semtex OFFICE (kWh)
2021-01-01 00:00:00,0.0001434459,0.0001520276,0.0003263611, 20.00 ,40.24
2021-01-01 01:00:00,0.0001400065,0.0001541302,0.0003640701, 18.00 ,45.79
2021-01-01 02:00:00,0.0001538535,0.000157139,0.0003430119, 11.00 ,43.03
2021-01-01 03:00:00,0.0001776035,0.0001626977,0.0003165528, 10.00 ,44.63
2021-01-01 04:00:00,0.0001929408,0.000173802,0.000290086, 3.00 ,44.68
2021-01-01 05:00:00,0.0002576878,0.0002407797,0.0002769726, 6.00 ,49.13
2021-01-01 06:00:00,0.0002687557,0.0002665525,0.0002691926, 9.00 ,56.27
2021-01-01 07:00:00,0.0002848648,0.0002792426,0.0002616164, 7.00 ,57.72
2021-01-01 08:00:00,0.0002763103,0.0002752039,0.0002558985, 14.00 ,55.78
2021-01-01 09:00:00,0.0002727984,0.0002612516,0.0002694172, 19.00 ,55.01
2021-01-01 10:00:00,0.0002685993,0.0002482927,0.0003031828, 45.00 ,56.81
2021-01-01 11:00:00,0.0002572516,0.0002327697,0.0003214966, 50.00 ,54.06
2021-01-01 12:00:00,0.0002606554,0.000224312,0.0003177601, 46.00 ,53.27
2021-01-01 13:00:00,0.0002629974,0.0002127124,0.0003021665, 41.00 ,51.75
2021-01-01 14:00:00,0.0002560877,0.0002052781,0.0002851591, 38.00 ,48.96
2021-01-01 15:00:00,0.0002561125,0.0002038593,0.0002538641, 35.00 ,45.97
2021-01-01 16:00:00,0.000251874,0.000197434,0.0001938187, 29.00 ,44.83
2021-01-01 17:00:00,0.0002385032,0.0001871649,0.0001410622, 33.00 ,36.18
2021-01-01 18:00:00,0.0002367985,0.0001835816,0.0001174532, 31.00 ,35.62
2021-01-01 19:00:00,0.000221344,0.0001768473,0.000111927, 27.00 ,35.38
2021-01-01 20:00:00,0.0001921807,0.0001664546,0.0001119207, 29.00 ,31.92
2021-01-01 21:00:00,0.000165546,0.0001600028,0.0001165926, 28.00 ,30.94
2021-01-01 22:00:00,0.0001491471,0.0001536074,0.0001298224, 24.00 ,27.52
2021-01-01 23:00:00,0.0001510296,0.0001515342,0.0001528424, 24.00 ,29.28
2021-01-02 00:00:00,0.0001407907,0.0001524042,0.0002437646, 22.00 ,36.46
2021-01-02 01:00:00,0.0001378616,0.0001545145,0.0003434204, 22.00 ,40.89
2021-01-02 02:00:00,0.0001516549,0.0001575327,0.0003950045, 20.00 ,49.18
2021-01-02 03:00:00,0.0001754938,0.0001631063,0.0003749173, 20.00 ,45.85
2021-01-02 04:00:00,0.000190871,0.0001741956,0.0003393237, 19.00 ,48.73
2021-01-02 05:00:00,0.0002377449,0.0002167702,0.0003133315, 16.00 ,53.01
2021-01-02 06:00:00,0.0002469813,0.0002329731,0.0002953684, 17.00 ,50.58
2021-01-02 07:00:00,0.000263634,0.0002419888,0.0002849265, 19.00 ,54.02
2021-01-02 08:00:00,0.0002686182,0.0002371316,0.0002777702, 22.00 ,53.51
2021-01-02 09:00:00,0.0002621741,0.0002240577,0.0002803482, 26.00 ,52.8
2021-01-02 10:00:00,0.0002534059,0.0002144481,0.0002958356, 30.00 ,53.05
2021-01-02 11:00:00,0.0002459464,0.0002009126,0.0003054164, 34.00 ,51.06
2021-01-02 12:00:00,0.0002457994,0.0001937855,0.0002992236, 36.00 ,50.52
2021-01-02 13:00:00,0.0002492682,0.0001892114,0.0002863046, 36.00 ,47.44
2021-01-02 14:00:00,0.0002523451,0.0001899816,0.0002726032, 36.00 ,49.52
2021-01-02 15:00:00,0.0002586521,0.0001962713,0.000246316, 35.00 ,46.24
2021-01-02 16:00:00,0.0002678901,0.0001991491,0.0001981925, 36.00 ,44.02
2021-01-02 17:00:00,0.0002688621,0.0001953762,0.0001493045, 34.00 ,41.61
2021-01-02 18:00:00,0.0002611973,0.0001892085,0.0001239957, 33.00 ,38.54
2021-01-02 19:00:00,0.000243993,0.0001849344,0.000116966, 32.00 ,35.09
2021-01-02 20:00:00,0.0002271039,0.000180398,0.0001147337, 31.00 ,36.38
2021-01-02 21:00:00,0.0001990152,0.0001749382,0.0001195101, 31.00 ,32.12
2021-01-02 22:00:00,0.0001707729,0.0001635783,0.0001301007, 32.00 ,31.59
2021-01-02 23:00:00,0.000173788,0.0001617424,0.0001530822, 30.00 ,32.89
2021-01-03 00:00:00,0.0001646366,0.0001619892,0.0002335965, 28.00 ,37.84
2021-01-03 01:00:00,0.0001639485,0.0001635416,0.0003175422, 27.00 ,42.04
2021-01-03 02:00:00,0.0001775759,0.0001668297,0.0003781264, 27.00 ,45.98
2021-01-03 03:00:00,0.0001986173,0.000174519,0.0003737914, 27.00 ,50.15
2021-01-03 04:00:00,0.0002112328,0.0001902362,0.0003475687, 26.00 ,52.12
2021-01-03 05:00:00,0.0002206047,0.0002022175,0.0003230842, 25.00 ,48.27
2021-01-03 06:00:00,0.0002260636,0.0002161324,0.000301224, 27.00 ,50.8
2021-01-03 07:00:00,0.0002334586,0.0002239107,0.0002800004, 28.00 ,48.05
2021-01-03 08:00:00,0.0002318474,0.0002176156,0.0002686272, 31.00 ,47.85
2021-01-03 09:00:00,0.0002292159,0.0002068336,0.0002702937, 32.00 ,49.19
2021-01-03 10:00:00,0.0002307731,0.0001983162,0.0002825438, 34.00 ,48.73
