UTC,S31 Heat demand (%),S32 Heat demand (%),S41 Heat demand (%),Outside temp (0.1 °C),Building Semtex OFFICE (kWh)
2022-02-01 00:00:00,,,,16.00,
2022-02-01 01:00:00,,,,27.00,
2022-02-01 02:00:00,,,,30.00,
2022-02-01 03:00:00,,,,33.00,
2022-02-01 04:00:00,,,,36.00,
2022-02-01 05:00:00,,,,38.00,
2022-02-01 06:00:00,,,,42.00,
2022-02-01 07:00:00,,,,42.00,
2022-02-01 08:00:00,,,,47.00,
2022-02-01 09:00:00,,,,52.00,
2022-02-01 10:00:00,,,,60.00,
2022-02-01 11:00:00,,,,73.00,
2022-02-01 12:00:00,,,,82.00,
2022-02-01 13:00:00,,,,89.00,
2022-02-01 14:00:00,,,,91.00,
2022-02-01 15:00:00,,,,95.00,
2022-02-01 16:00:00,,,,95.00,
2022-02-01 17:00:00,,,,101.00,
2022-02-01 18:00:00,,,,102.00,
2022-02-01 19:00:00,,,,92.00,
2022-02-01 20:00:00,,,,93.00,
2022-02-01 21:00:00,,,,94.00,
2022-02-01 22:00:00,,,,90.00,
2022-02-01 23:00:00,,,,87.00,
2022-02-02 00:00:00,,,,84.00,
2022-02-02 01:00:00,,,,79.00,
2022-02-02 02:00:00,,,,79.00,
2022-02-02 03:00:00,,,,78.00,
2022-02-02 04:00:00,,,,78.00,
2022-02-02 05:00:00,,,,80.00,
2022-02-02 06:00:00,,,,77.00,
2022-02-02 07:00:00,,,,75.00,
2022-02-02 08:00:00,,,,85.00,
2022-02-02 09:00:00,,,,90.00,
2022-02-02 10:00:00,,,,95.00,
2022-02-02 11:00:00,,,,98.00,
2022-02-02 12:00:00,,,,103.00,
2022-02-02 13:00:00,,,,96.00,
2022-02-02 14:00:00,,,,96.00,
2022-02-02 15:00:00,,,,92.00,
2022-02-02 16:00:00,,,,81.00,
2022-02-02 17:00:00,,,,88.00,
2022-02-02 18:00:00,,,,89.00,
2022-02-02 19:00:00,,,,89.00,
2022-02-02 20:00:00,,,,88.00,
2022-02-02 21:00:00,,,,88.00,
2022-02-02 22:00:00,,,,87.00,
2022-02-02 23:00:00,,,,88.00,
2022-02-03 00:00:00,,,,88.00,
2022-02-03 01:00:00,,,,86.00,
2022-02-03 02:00:00,,,,83.00,
2022-02-03 03:00:00,,,,80.00,
2022-02-03 04:00:00,,,,76.00,
2022-02-03 05:00:00,,,,78.00,
2022-02-03 06:00:00,,,,78.00,
2022-02-03 07:00:00,,,,77.00,
2022-02-03 08:00:00,,,,78.00,
2022-02-03 09:00:00,,,,78.00,
2022-02-03 10:00:00,,,,81.00,
2022-02-03 11:00:00,,,,80.00,
2022-02-03 12:00:00,,,,78.00,
2022-02-03 13:00:00,,,,77.00,
2022-02-03 14:00:00,,,,70.00,
2022-02-03 15:00:00,,,,70.00,
2022-02-03 16:00:00,,,,68.00,
2022-02-03 17:00:00,,,,67.00,
2022-02-03 18:00:00,,,,69.00,
2022-02-03 19:00:00,,,,71.00,
2022-02-03 20:00:00,,,,71.00,
2022-02-03 21:00:00,,,,70.00,
2022-02-03 22:00:00,,,,70.00,
2022-02-03 23:00:00,,,,71.00,
2022-02-04 00:00:00,,,,72.00,
2022-02-04 01:00:00,,,,72.00,
2022-02-04 02:00:00,,,,73.00,
2022-02-04 03:00:00,,,,74.00,
2022-02-04 04:00:00,,,,74.00,
2022-02-04 05:00:00,,,,77.00,
2022-02-04 06:00:00,,,,73.00,
2022-02-04 07:00:00,,,,73.00,
2022-02-04 08:00:00,,,,76.00,
2022-02-04 09:00:00,,,,78.00,
2022-02-04 10:00:00,,,,79.00,
2022-02-04 11:00:00,,,,87.00,
2022-02-04 12:00:00,,,,88.00,
2022-02-04 13:00:00,,,,78.00,
2022-02-04 14:00:00,,,,72.00,
2022-02-04 15:00:00,,,,45.00,
2022-02-04 16:00:00,,,,42.00,
2022-02-04 17:00:00,,,,38.00,
2022-02-04 18:00:00,,,,41.00,
2022-02-04 19:00:00,,,,39.00,
2022-02-04 20:00:00,,,,43.00,
2022-02-04 21:00:00,,,,25.00,
2022-02-04 22:00:00,,,,32.00,
2022-02-04 23:00:00,,,,31.00,
2022-02-05 00:00:00,,,,25.00,
2022-02-05 01:00:00,,,,22.00,
2022-02-05 02:00:00,,,,22.00,
2022-02-05 03:00:00,,,,24.00,
2022-02-05 04:00:00,,,,20.00,
2022-02-05 05:00:00,,,,20.00,
2022-02-05 06:00:00,,,,18.00,
2022-02-05 07:00:00,,,,23.00,
2022-02-05 08:00:00,,,,37.00,
2022-02-05 09:00:00,,,,53.00,
2022-02-05 10:00:00,,,,62.00,
2022-02-05 11:00:00,,,,72.00,
2022-02-05 12:00:00,,,,79.00,
