,0
0,3.794810429534449e-15
1,3.794809453395604e-15
2,3.794806524979571e-15
3,3.794801644287858e-15
4,3.794794811322974e-15
5,3.7947860260884366e-15
6,3.794775288588763e-15
7,3.7947625988294784e-15
8,3.794747956817111e-15
9,3.794731362559194e-15
10,3.794712816064263e-15
11,3.794692317341862e-15
12,3.794669866402534e-15
13,3.794645463257831e-15
14,3.7946191079203066e-15
15,3.7945908004035196e-15
16,3.794560540722033e-15
17,3.7945283288914154e-15
18,3.794494164928237e-15
19,3.7944580488500736e-15
20,3.794419980675507e-15
21,3.7943799604241215e-15
22,3.794337988116504e-15
23,3.7942940637742494e-15
24,3.7942481874199555e-15
25,3.794200359077222e-15
26,3.794150578770655e-15
27,3.794098846525866e-15
28,3.794045162369467e-15
29,3.793989526329079e-15
30,3.7939319384333216e-15
31,3.793872398711824e-15
32,3.793810907195216e-15
33,3.793747463915131e-15
34,3.793682068904211e-15
35,3.793614722196097e-15
36,3.793545423825436e-15
37,3.79347417382788e-15
38,3.7934009722400844e-15
39,3.793325819099709e-15
40,3.793248714445417e-15
41,3.793169658316873e-15
42,3.793088650754751e-15
43,3.793005691800725e-15
44,3.792920781497476e-15
45,3.792833919888684e-15
46,3.7927451070190375e-15
47,3.792654342934226e-15
48,3.792561627680946e-15
49,3.7924669613068945e-15
50,3.792370343860773e-15
51,3.792271775392288e-15
52,3.79217125595215e-15
53,3.79206878559207e-15
54,3.791964364364766e-15
55,3.7918579923239586e-15
56,3.791749669524372e-15
57,3.791639396021735e-15
58,3.791527171872777e-15
59,3.7914129971352335e-15
60,3.7912968718678424e-15
61,3.7911787961303466e-15
62,3.791058769983491e-15
63,3.7909367934890235e-15
64,3.790812866709697e-15
65,3.790686989709266e-15
66,3.7905591625524896e-15
67,3.7904293853051295e-15
68,3.7902976580339524e-15
69,3.790163980806723e-15
70,3.790028353692218e-15
71,3.789890776760208e-15
72,3.789751250081472e-15
73,3.789609773727791e-15
74,3.7894663477719494e-15
75,3.789320972287734e-15
76,3.789173647349934e-15
77,3.789024373034343e-15
78,3.788873149417756e-15
79,3.788719976577971e-15
80,3.7885648545937896e-15
81,3.788407783545017e-15
82,3.788248763512459e-15
83,3.788087794577925e-15
84,3.787924876824227e-15
85,3.7877600103351805e-15
86,3.787593195195602e-15
87,3.78742443149131e-15
88,3.7872537193091285e-15
89,3.787081058736882e-15
90,3.7869064498633966e-15
91,3.786729892778502e-15
92,3.786551387573029e-15
93,3.786370934338813e-15
94,3.786188533168687e-15
95,3.786004184156493e-15
96,3.785817887397068e-15
97,3.785629642986255e-15
98,3.7854394510209e-15
99,3.785247311598846e-15
100,3.785053224818944e-15
101,3.784857190781042e-15
102,3.784659209585992e-15
103,3.784459281335648e-15
104,3.784257406132865e-15
105,3.784053584081499e-15
106,3.783847815286408e-15
107,3.783640099853453e-15
108,3.783430437889495e-15
109,3.783218829502395e-15
110,3.78300527480102e-15
111,3.782789773895233e-15
112,3.7825723268959e-15
113,3.782352933914892e-15
114,3.782131595065074e-15
115,3.781908310460319e-15
116,3.781683080215497e-15
117,3.78145590444648e-15
118,3.781226783270139e-15
119,3.78099571680435e-15
120,3.780762705167986e-15
121,3.780527748480924e-15
122,3.780290846864038e-15
123,3.780052000439205e-15
124,3.779811209329301e-15
125,3.779568473658205e-15
126,3.779323793550793e-15
127,3.779077169132945e-15
128,3.7788286005315386e-15
129,3.778578087874452e-15
130,3.778325631290564e-15
131,3.778071230909753e-15
132,3.777814886862898e-15
133,3.777556599281879e-15
134,3.777296368299573e-15
135,3.7770341940498594e-15
136,3.776770076667616e-15
137,3.77650401628872e-15
138,3.77623601305005e-15
139,3.775966067089481e-15
