,0
0,3.8635551504781194e-14
1,3.863551175190451e-14
2,3.8635392493356245e-14
3,3.863519372938182e-14
4,3.863491546039027e-14
5,3.863455768695421e-14
6,3.8634120409809894e-14
7,3.863360362985716e-14
8,3.8633007348159453e-14
9,3.8632331565943845e-14
10,3.8631576284600973e-14
11,3.8630741505685085e-14
12,3.862982723091402e-14
13,3.8628833462169216e-14
14,3.862776020149568e-14
15,3.862660745110202e-14
16,3.8625375213360396e-14
17,3.862406349080657e-14
18,3.862267228613986e-14
19,3.8621201602223125e-14
20,3.8619651442082804e-14
21,3.861802180890887e-14
22,3.861631270605487e-14
23,3.8614524137037835e-14
24,3.861265610553837e-14
25,3.861070861540057e-14
26,3.8608681670632065e-14
27,3.860657527540398e-14
28,3.860438943405094e-14
29,3.860212415107105e-14
30,3.8599779431125904e-14
31,3.8597355279040553e-14
32,3.859485169980352e-14
33,3.859226869856676e-14
34,3.858960628064568e-14
35,3.8586864451519104e-14
36,3.858404321682928e-14
37,3.8581142582381846e-14
38,3.857816255414585e-14
39,3.857510313825371e-14
40,3.857196434100121e-14
41,3.8568746168847496e-14
42,3.856544862841504e-14
43,3.856207172648966e-14
44,3.855861547002046e-14
45,3.8555079866119877e-14
46,3.8551464922063615e-14
47,3.8547770645290645e-14
48,3.854399704340318e-14
49,3.8540144124166705e-14
50,3.85362118955099e-14
51,3.853220036552466e-14
52,3.852810954246608e-14
53,3.8523939434752397e-14
54,3.851969005096503e-14
55,3.851536139984853e-14
56,3.8510953490310567e-14
57,3.85064663314219e-14
58,3.850189993241639e-14
59,3.849725430269096e-14
60,3.849252945180555e-14
61,3.848772538948314e-14
62,3.848284212560975e-14
63,3.847787967023432e-14
64,3.84728380335688e-14
65,3.846771722598807e-14
66,3.8462517258029917e-14
67,3.8457238140395045e-14
68,3.8451879883947036e-14
69,3.844644249971232e-14
70,3.844092599888014e-14
71,3.843533039280259e-14
72,3.8429655692994513e-14
73,3.842390191113354e-14
74,3.8418069059060024e-14
75,3.8412157148777034e-14
76,3.840616619245034e-14
77,3.8400096202408355e-14
78,3.839394719114214e-14
79,3.8387719171305394e-14
80,3.8381412155714366e-14
81,3.837502615734788e-14
82,3.836856118934729e-14
83,3.836201726501647e-14
84,3.835539439782175e-14
85,3.8348692601391946e-14
86,3.8341911889518263e-14
87,3.833505227615431e-14
88,3.8328113775416095e-14
89,3.832109640158191e-14
90,3.8314000169092394e-14
91,3.830682509255045e-14
92,3.8299571186721237e-14
93,3.829223846653212e-14
94,3.8284826947072656e-14
95,3.827733664359458e-14
96,3.826976757151171e-14
97,3.8262119746399984e-14
98,3.82543931839974e-14
99,3.824658790020398e-14
100,3.8238703911081754e-14
101,3.823074123285468e-14
102,3.8222699881908696e-14
103,3.82145798747916e-14
104,3.820638122821304e-14
105,3.819810395904455e-14
106,3.8189748084319386e-14
107,3.818131362123261e-14
108,3.8172800587141e-14
109,3.816420899956299e-14
110,3.815553887617871e-14
111,3.8146790234829854e-14
112,3.8137963093519734e-14
113,3.81290574704132e-14
114,3.812007338383656e-14
115,3.811101085227765e-14
116,3.810186989438569e-14
117,3.8092650528971306e-14
118,3.808335277500646e-14
119,3.807397665162444e-14
120,3.806452217811981e-14
121,3.8054989373948346e-14
122,3.804537825872702e-14
123,3.8035688852233984e-14
124,3.802592117440846e-14
125,3.8016075245350766e-14
126,3.8006151085322235e-14
127,3.79961487147452e-14
128,3.798606815420293e-14
129,3.7975909424439596e-14
130,3.7965672546360227e-14
131,3.795535754103068e-14
132,3.794496442967757e-14
133,3.7934493233688256e-14
134,3.792394397461078e-14
135,3.7913316674153804e-14
136,3.790261135418661e-14
137,3.7891828036739034e-14
138,3.7880966744001416e-14
139,3.787002749832452e-14
140,3.785901032221959e-14
141,3.7847915238358167e-14
142,3.783674226957219e-14
143,3.782549143885381e-14
144,3.781416276935542e-14
145,3.7802756284389616e-14
146,3.77912720074291e-14
147,3.7779709962106675e-14
148,3.776807017221517e-14
149,3.7756352661707397e-14
150,3.774455745469611e-14
151,3.773268457545396e-14
152,3.7720734048413406e-14
153,3.770870589816672e-14
154,3.769660014946589e-14
155,3.768441682722263e-14
156,3.767215595650823e-14
157,3.765981756255361e-14
158,3.764740167074917e-14
159,3.763490830664486e-14
160,3.762233749594999e-14
161,3.760968926453326e-14
162,3.759696363842272e-14
163,3.758416064380566e-14
164,3.7571280307028565e-14
165,3.7558322654597106e-14
166,3.754528771317606e-14
167,3.753217550958923e-14
168,3.751898607081942e-14
169,3.7505719424008385e-14
170,3.749237559645674e-14
171,3.747895461562394e-14
172,3.746545650912821e-14
173,3.745188130474648e-14
174,3.743822903041434e-14
175,3.742449971422598e-14
176,3.741069338443411e-14
177,3.739681006944996e-14
178,3.738284979784314e-14
179,3.7368812598341646e-14
180,3.7354698499831786e-14
181,3.7340507531358106e-14
182,3.7326239722123335e-14
183,3.731189510148832e-14
184,3.7297473698972013e-14
185,3.7282975544251314e-14
186,3.726840066716109e-14
187,3.725374909769412e-14
188,3.723902086600097e-14
189,3.722421600238996e-14
190,3.7209334537327134e-14
191,3.7194376501436145e-14
192,3.717934192549824e-14
193,3.7164230840452136e-14
194,3.714904327739404e-14
195,3.7133779267577495e-14
196,3.711843884241339e-14
197,3.710302203346986e-14
198,3.70875288724722e-14
199,3.7071959391302866e-14
200,3.705631362200133e-14
